,clinton_adjusted,polling_weight,state,trump_adjusted,trump_clinton_win
0,4.9514,149279.060764,36,5.79509,1
1,-1.70341,2367.272688,36,-1.27016,0
2,-1.70221,1984.950272,21,-1.27396,1
3,-1.64069,532.159137,37,0.30585,1
4,-0.67256,1028.09278857,36,2.20888,1
5,0.6508,583.731319286,36,1.26663,1
6,1.61834,3334.013116,36,-0.13983,1
7,-0.10951,5175.750875,35,-0.49667,1
8,-0.47424,728.3648616,36,0.84948,1
9,0.21983,7915.2476,36,1.6954,1
10,1.25217,9298.856095,36,-3.05155,1
11,-0.18168,449.077225,37,1.92262,0
12,1.68839,311.737116444,25,1.50605,1
13,1.31551,2418.263462,36,1.34972,1
14,-1.79207,354.57552,51,1.01937,1
15,-1.80542,353.733513333,37,1.07725,0
16,-0.81717,411.3065925,36,2.33826,1
17,-0.32211,271.163344375,37,1.11255,0
18,-0.22953,714.48499,35,-0.19321,1
19,-0.25646,304.241517714,35,2.34735,1
20,-0.15583,169.253,36,1.99571,1
21,-0.48939,1062.1079145,42,-2.2428,0
22,-0.24615,619.910672,47,-0.12769,1
23,-0.36398,500.7498665,36,0.55637,1
24,-0.24,616.9526895,16,-0.15194,0
25,-0.21398,753.883216,36,0.0337,1
26,-0.22424,614.982712,51,-0.21405,1
27,0.50363,3713.424,36,0.1804,1
28,-1.33511,49936.43724,36,-0.58191,1
29,-0.57177,890.688464571,42,-0.52291,0
30,-1.95687,231.356544,29,2.24964,1
31,-0.2886,1500.4430595,35,-1.85209,1
32,-0.2886,1396.3743365,9,-1.85209,0
33,-0.2886,1378.046208,51,-1.85209,0
34,-0.2886,1371.39236,43,-1.85209,1
35,-2.42172,1517.077419,36,-3.57022,1
36,-0.25502,204.638544,51,2.64333,1
37,-1.26662,549.54638775,8,-0.37015,1
38,-2.26421,687.81015,16,0.35058,0
39,-0.2886,1262.440935,21,-1.85209,1
40,0.08772,300.891522167,17,0.58124,0
41,-0.36267,892.4436,21,-1.7944,1
42,-1.6483,243.622,4,0.01773,1
43,0.20443,157.995998286,36,1.15833,1
44,-0.36364,225.735388,26,0.87188,0
45,-0.44188,272.556125,36,1.76292,1
46,0.94143,255.054618,37,3.24168,1
47,-0.2886,1073.607961,37,-1.85209,0
48,-0.36905,813.974625,56,-1.7742,1
49,-1.26551,5774.919085,32,-0.89071,0
50,-1.90151,191.460460625,55,1.92952,0
51,-0.21618,668.918565,29,1.53563,1
52,0.40761,705.17468,26,-0.76122,0
53,-0.4692,703.339784,35,1.71922,1
54,-1.27916,5366.60178,25,-0.8419,1
55,-0.2121,464.049570167,37,0.02554,1
56,-0.2886,1015.177576,47,-1.85209,1
57,-0.94699,191.91384,36,1.09445,1
58,-1.27674,5986.282372,37,-0.85054,1
59,-0.12992,148.972140833,32,2.25708,0
60,-0.36983,221.5770278,37,0.90773,1
61,-0.2373,290.4281286,32,1.48988,0
62,-1.08178,192.3598315,36,2.25222,1
63,-0.19875,449.339933167,51,-0.03234,1
64,0.11597,264.205006333,21,0.43544,1
65,-1.11784,261.357380667,37,-0.1655,1
66,-0.19233,427.11335275,39,-1.24792,0
67,0.14038,246.683140667,32,0.30946,0
68,-1.16607,180.320756111,36,-0.74052,1
69,-0.49215,331.8688,9,-1.25768,1
70,-1.33056,362.974891333,31,0.71407,1
71,-2.98742,234.747582667,13,-2.43731,0
72,-1.27454,4217.502065,26,-0.85842,0
73,-1.27329,4610.71281,35,-0.86289,1
74,-0.93252,178.70055,51,0.81387,1
75,0.12807,235.498653,51,0.37304,1
76,-1.27411,4202.612598,21,-0.85995,1
